keys,ru
item.core.wood.name,"Древесина"
item.core.stone.name,"Камень"
item.core.raw_water.name,"Небезопасная вода"
item.core.boiled_water.name,"Кипячёная вода"
item.core.food.name,"Ягоды"
item.core.pinecone.name,"Шишка"
object.core.common_house.name,"Общий дом"
object.core.old_tools.name,"Старый ящик"
object.core.repair_room.name,"Заваленная комната"
object.core.campfire_site.name,"Место для костра"
object.core.bed_site.name,"Место для постели"
object.core.wood_north.name,"Упавшие ветви"
object.core.wood_west.name,"Сухое дерево"
object.core.wood_east.name,"Обломки досок"
object.core.stone_south.name,"Камни у дороги"
object.core.stone_east.name,"Каменная осыпь"
object.core.surface_boulder.name,"Крупный валун"
object.core.surface_tree.name,"Дерево"
object.core.shore_water.name,"Берег ручья"
object.core.berry_bush.name,"Куст с ягодами"
object.core.old_tools.state.available,"Набор инструментов"
object.core.repair_room.state.cleared,"Расчищенная комната"
object.core.repair_room.state.roof_damaged,"Повреждённая крыша"
object.core.repair_room.state.sheltered,"Укрытая комната"
object.core.campfire_site.state.built,"Сложенный костёр"
object.core.campfire_site.state.lit,"Горящий костёр"
object.core.bed_site.state.ready,"Временная постель"
character_part.core.cloak_none.name,"Без плаща"
character_part.core.cloak_charcoal.name,"Тёмный дорожный плащ"
character_part.core.cloak_moss.name,"Плащ цвета мха"
character_part.core.pants_dark.name,"Тёмные штаны"
character_part.core.pants_ash.name,"Пепельные штаны"
character_part.core.boots_brown.name,"Коричневые ботинки"
character_part.core.boots_dark.name,"Тёмные сапоги"
character_part.core.body_warm.name,"Тёплый тон кожи"
character_part.core.body_light.name,"Светлый тон кожи"
character_part.core.shirt_green.name,"Зелёная рабочая куртка"
character_part.core.shirt_moss.name,"Куртка цвета мха"
character_part.core.shirt_linen.name,"Светлая рубаха"
character_part.core.hair_short_dark.name,"Короткие тёмные волосы"
character_part.core.hair_short_brown.name,"Короткие каштановые волосы"
character_part.core.scarf_none.name,"Без шарфа"
character_part.core.scarf_ochre.name,"Охристый шарф"
character_part.core.scarf_green.name,"Зелёный шарф"
character_part.core.held_none.name,"Пустые руки"
character_part.core.held_tool_bundle.name,"Связка инструментов"
npc.core.first_neighbor.name,"Мира"
npc.core.first_neighbor.unknown,"Путник у Общего дома"
npc.generic.traveler.name,"Путник"
npc.activity.arriving,"Осматривается после дороги"
npc.activity.morning,"Проводит утро у Общего дома"
npc.activity.outdoors,"Гуляет неподалёку"
npc.activity.evening,"Проводит вечер у костра"
npc.activity.going_to_meal,"Идёт поесть"
npc.activity.eating,"Ест"
npc.activity.waiting_for_food,"Ищет еду"
npc.activity.going_to_rest,"Идёт отдыхать"
npc.activity.resting,"Отдыхает"
npc.activity.blocked,"Не может пройти"
npc.activity.going_to_build,"Идёт помогать со строительством"
npc.activity.building,"Строит стену"
npc.activity.unknown,"Занята своими делами"
npc.work_request.accepted,"Мира согласилась помочь с выбранной стеной."
npc.work_request.failure.invalid,"Просьба сформирована неверно."
npc.work_request.failure.missing_npc,"Сейчас попросить Миру нельзя."
npc.work_request.failure.not_acquainted,"Сначала стоит познакомиться с Мирой."
npc.work_request.failure.too_far,"Сначала подойдите к Мире ближе."
npc.work_request.failure.busy,"Мира уже выполняет принятое обязательство."
npc.work_request.failure.missing_blueprint,"В выбранной клетке нет чертежа."
npc.work_request.failure.hungry,"Мира слишком голодна и сначала хочет поесть."
npc.work_request.failure.tired,"Мира слишком устала и сначала хочет отдохнуть."
npc.work_request.failure.unreachable,"Мира не видит доступного места для работы у этого чертежа."
npc.work_request.failure.materials_missing,"У Миры нет всех недостающих материалов. Позже она сможет забрать их со склада."
npc.work_request.prompt.select_blueprint,"Выключите строительный режим и выберите клетку с чертежом."
dialogue.core.first_neighbor.greeting,"Я увидела дым от костра. Не думала, что здесь ещё кто-то сможет переночевать."
dialogue.core.first_neighbor.repeat,"Если ты правда остаёшься, утром стоит осмотреть крышу снаружи. Одному это долго."
dialogue.core.first_neighbor.shared_wall,"Стена вышла крепкой. Теперь это место чуть больше похоже на дом."
ui.dialogue.speaker_line,"{speaker}: {line}"
first_night.message.house.first,"Внутри Общего дома видны старые инструменты и комната с повреждённой крышей."
first_night.message.house.repeat,"Общий дом сильно повреждён, но одну комнату ещё можно спасти."
first_night.message.tools.first,"Найдены изношенные топорик, молоток, пила, нож и котелок."
first_night.message.tools.repeat,"Инструменты уже у вас."
first_night.message.repair.cleared,"Вы расчистили завал и добрались до повреждённой крыши."
first_night.message.repair.roof_strengthened,"Крыша укреплена. Осталось закрыть щели в комнате."
first_night.message.repair.finished,"Комната укрыта от ветра и готова к первой ночи."
first_night.message.repair.already_done,"Отремонтированная комната выдержит эту ночь."
first_night.message.campfire.built,"Кострище сложено. Взаимодействуйте снова, чтобы разжечь огонь."
first_night.message.campfire.lit,"Огонь разгорелся и начал прогревать двор."
first_night.message.water.boiled,"Вода прокипела и теперь безопасна."
first_night.message.bed.ready,"Временная постель готова. После 18:00 здесь можно завершить день."
first_night.failure.repair.tools_required,"Для ремонта нужен найденный набор инструментов."
first_night.failure.repair.roof_resources,"Для ремонта крыши нужно 3 древесины и 2 камня."
first_night.failure.repair.finish_resources,"Для завершения комнаты нужно ещё 2 древесины."
first_night.failure.campfire.resources,"Для костра нужно 2 древесины и 2 камня."
first_night.failure.campfire.tools_required,"Без инструментов и старого огнива разжечь костёр не получится."
first_night.failure.water.raw_required,"Принесите котелок сырой воды, чтобы вскипятить её."
first_night.failure.bed.room_required,"Сначала нужно закончить ремонт комнаты."
first_night.failure.bed.resources,"Для основания временной постели нужна 1 древесина."
first_night.failure.bed.too_early,"Ещё слишком рано спать. Используйте оставшееся дневное время."
first_night.collect.wood.success,"Собрана древесина: {amount} ед."
first_night.collect.stone.success,"Собран камень: {amount} ед."
first_night.collect.food.success,"Найдены съедобные ягоды: {amount} порции."
first_night.collect.water.success,"Котелок наполнен небезопасной водой."
first_night.collect.generic.success,"Ресурс собран."
first_night.collect.empty,"Здесь больше ничего нет."
first_night.inventory.no_space,"В инвентаре нет свободных слотов. Освободите место перед сбором."
first_night.water.container_full,"Котелок полон или груз уже слишком тяжёлый."
first_night.objective.meet_neighbor,"Утром у Общего дома появился путник. Поговорите с ним."
first_night.objective.complete,"Первое утро наступило. Срез пройден."
first_night.objective.find_tools,"Осмотрите Общий дом и найдите инструменты."
first_night.objective.repair_room,"Соберите древесину и камень, затем отремонтируйте комнату."
first_night.objective.light_campfire,"Соберите костёр из древесины и камня, затем разожгите его."
first_night.objective.boil_water,"Наберите воду у берега и вскипятите её на костре."
first_night.objective.prepare_bed,"Подготовьте временную постель в отремонтированной комнате."
first_night.objective.wait_for_evening,"Подготовка закончена. Дождитесь 18:00 или исследуйте карту."
first_night.objective.sleep,"Вернитесь к постели и завершите первую ночь."
first_night.message.dusk,"Солнце садится. Пора заканчивать подготовку к ночи."
first_night.message.exhausted,"Вы слишком устали. Подготовьте постель и завершите день."
interaction.failure.unknown_actor,"Неизвестный участник действия."
interaction.failure.unsupported_action,"Это действие пока недоступно."
interaction.failure.missing_target,"Такой цели здесь нет."
interaction.failure.target_unavailable,"Сейчас с этим нельзя взаимодействовать."
interaction.failure.too_far,"Слишком далеко: подойдите ближе к выбранному объекту."
interaction.failure.unsupported_target,"С этим пока нельзя взаимодействовать."
interaction.failure.no_npc,"Здесь никого нет."
interaction.prompt.select_object,"Сначала выберите объект левой кнопкой мыши."
first_night.outcome.dry_room,"сухая комната"
first_night.outcome.cold_draft,"холодный сквозняк"
first_night.outcome.residual_warmth,"остаточное тепло"
first_night.outcome.safe_water,"безопасная вода"
first_night.outcome.light_supper,"лёгкий ужин"
first_night.outcome.hungry_sleep,"голодный сон"
first_night.message.morning.summary,"Наступило новое утро. Итог: {outcomes}."
first_night.message.morning.summary_with_neighbor,"Наступило новое утро. Итог: {outcomes}. На рассвете у Общего дома появился путник."
ui.hud.selection.none,"Выбор: —"
ui.hud.selection.cell,"Выбор: Клетка {x}, {y}"
ui.hud.selection.in_range,"Выбор: {label}  [E / ПКМ]"
ui.hud.selection.out_of_range,"Выбор: {label}  [подойдите ближе]"
ui.hud.selection.in_range_with_status,"Выбор: {label} — {status}  [E / ПКМ]"
ui.hud.selection.out_of_range_with_status,"Выбор: {label} — {status}  [подойдите ближе]"
ui.hud.day_time,"День {day}  {time}"
ui.hud.day_time_paused,"День {day}  {time}  ПАУЗА"
ui.hud.objective,"Цель: {objective}"
ui.hud.intro,"Осмотрите Общий дом. ЛКМ выбирает объект, ПКМ взаимодействует."
ui.hud.controls,"WASD/стрелки — движение   Space — пауза   I — рюкзак\nF5 — сохранить   F9 — загрузить"
ui.hud.inventory,"Дерево {wood}  Камень {stone}  Вода {raw_water}/{boiled_water}  Еда {food}"
ui.hud.inventory_with_tools,"Дерево {wood}  Камень {stone}  Вода {raw_water}/{boiled_water}  Еда {food}  Инструменты ✓"
ui.hud.inventory_brief,"Д {wood} · К {stone}"
ui.hud.tasks.collapse,"−"
ui.hud.tasks.expand,"+"
ui.inventory.title,"Рюкзак"
ui.inventory.details.empty,"Выберите предмет"
ui.inventory.details.item,"{item} ×{amount}"
ui.inventory.eat,"Съесть"
ui.inventory.food.eaten,"Вы съели ягоды."
ui.inventory.food.none,"Ягод для еды нет."
ui.inventory.move.invalid,"Здесь недостаточно места или клетка занята."
ui.inventory.move.success,"Предмет перемещён."
ui.marker.create_title,"Новая метка"
ui.marker.list_title,"Метки"
ui.marker.name_placeholder,"Название метки"
ui.marker.save,"Сохранить"
ui.marker.close,"Закрыть"
ui.marker.empty,"Метки ещё не созданы. Нажмите L в нужном месте."
ui.marker.rename,"Имя"
ui.marker.rename_title,"Переименовать метку"
ui.marker.delete,"Удалить"
ui.marker.created,"Метка «{name}» создана."
ui.marker.renamed,"Метка переименована в «{name}»."
ui.marker.removed,"Метка удалена."
ui.marker.failure.empty_name,"Введите название метки."
ui.marker.failure.limit,"Достигнут предел: 64 метки."
ui.marker.failure.missing,"Метка не найдена."
ui.inventory.tab.items,"Вещи"
ui.inventory.tab.future,"Этот раздел появится позже"
system.pause.enabled,"Время остановлено."
system.pause.disabled,"Время снова идёт."
system.save.success,"Состояние сохранено."
system.save.failed,"Не удалось сохранить состояние."
system.load.success,"Состояние загружено."
system.load.failed,"Не удалось прочитать сохранение."
system.load.incompatible,"Сохранение несовместимо."
system.load.recovered_backup,"Основное сохранение повреждено. Загружена резервная копия."
save.error.temp_open,"Не удалось открыть временный файл сохранения."
save.error.temp_write,"Не удалось полностью записать временное сохранение."
save.error.temp_verify_json,"Временное сохранение не прошло проверку JSON."
save.error.primary_unavailable,"Основное сохранение недоступно."
save.error.backup_prepare,"Не удалось подготовить резервную копию сохранения."
save.error.backup_create,"Не удалось создать резервную копию сохранения."
save.error.replace_primary,"Не удалось заменить основной файл сохранения."
save.error.not_found,"Файл сохранения ещё не создан."
save.error.read_failed,"Не удалось прочитать файл сохранения."
save.error.json_line,"Сохранение повреждено: ошибка JSON в строке {line}."
save.error.expected_object,"Сохранение повреждено: ожидался объект JSON."
save.error.missing_version,"Сохранение повреждено: отсутствует версия формата."
save.error.version_type,"Сохранение повреждено: версия формата имеет неверный тип."
save.error.version_integer,"Сохранение повреждено: версия формата должна быть целым числом."
save.error.version_range,"Сохранение повреждено: версия формата вне допустимого диапазона."
save.error.future_version,"Сохранение создано более новой версией игры."
ui.construction.mode.off,"Строительство: ВЫКЛ"
ui.construction.mode.on,"Строительство: ВКЛ"
construction.feedback.blueprint_placed,"Чертёж постройки размещён."
construction.feedback.blueprint_cancelled,"Чертёж отменён. Доставленные материалы возвращены в инвентарь."
construction.feedback.materials_delivered,"Материалы доставлены: {amount}."
construction.feedback.materials_delivered_ready,"Материалы доставлены: {amount}. Теперь нажмите E ещё раз и удерживайте, чтобы строить."
construction.feedback.materials_already_delivered,"Все необходимые материалы уже доставлены."
construction.feedback.required_materials_missing,"В инвентаре нет необходимых материалов."
construction.feedback.too_far,"Сначала подойдите к чертежу ближе."
construction.feedback.hold_to_build,"Материалы готовы. Удерживайте E, чтобы строить."
construction.feedback.work_started,"Вы начали строительство. Удерживайте E и не двигайтесь."
construction.feedback.work_interrupted,"Строительство прервано. Накопленный прогресс сохранён."
construction.feedback.work_progressed,"Строительство: {progress}/{required}."
construction.feedback.structure_completed,"Постройка завершена."
construction.feedback.occupied_by_actor,"Клетка постройки занята персонажем."
construction.feedback.blocked_cell,"Здесь нельзя строить."
construction.feedback.occupied_cell,"Эта клетка уже занята."
construction.feedback.missing_blueprint,"В этой клетке нет чертежа."
construction.feedback.out_of_bounds,"Эта клетка находится за пределами карты."
construction.feedback.invalid,"Команда строительства отклонена."
construction.blueprint.material_progress,"{item}: {delivered}/{required}"
construction.blueprint.work_progress,"Работа: {progress}/{required}"
object.core.surface_stump.name,"Пень"
building.core.wood_wall.name,"Деревянная стена"
world.pickup.success,"Подобрано: {item} ×{amount}."
world.pickup.failure.inventory_full,"В рюкзаке нет свободного места."
world.pickup.failure.invalid_item,"Этот предмет нельзя подобрать."
world.pickup.failure.missing_drop,"Этого предмета больше нет на земле."
resource.selection.work_progress,"Работа: {progress}/{required}"
resource.feedback.hold_to_work,"Удерживайте E, чтобы работать."
resource.feedback.work_progressed,"Работа: {progress}/{required}"
resource.feedback.completed,"Добыча завершена."
resource.feedback.interrupted,"Работа прервана."
resource.feedback.invalid,"Сейчас с этим ресурсом нельзя работать."
item.core.plank.name,"Доски"
item.core.firewood.name,"Дрова"
building.core.workbench.name,"Верстак"
recipe.core.saw_planks.name,"Распилить бревно на доски"
recipe.core.split_firewood.name,"Расколоть бревно на дрова"
ui.crafting.title,"Верстак"
ui.crafting.hint,"Выберите рецепт. Материалы сразу перейдут из рюкзака в заготовку. После этого удерживайте E у верстака."
ui.crafting.close,"Закрыть"
crafting.project.status,"{recipe}, работа: {progress}/{required}"
crafting.feedback.project_started,"Материалы переданы. Удерживайте E у верстака, чтобы работать."
crafting.feedback.hold_to_work,"Удерживайте E, чтобы продолжить работу."
crafting.feedback.work_started,"Вы начали работу за верстаком."
crafting.feedback.work_progressed,"Изготовление: {progress}/{required}."
crafting.feedback.completed,"Изделие готово и лежит рядом с верстаком."
crafting.feedback.interrupted,"Работа прервана. Прогресс сохранён."
crafting.feedback.materials_missing,"В рюкзаке не хватает материалов для этого рецепта."
crafting.feedback.station_busy,"На верстаке уже есть незавершённая работа."
crafting.feedback.too_far,"Сначала подойдите к верстаку ближе."
crafting.feedback.invalid,"Действие с верстаком отклонено."
ui.crafting.hint.short,"Выберите, что сделать из материалов в рюкзаке."
ui.crafting.footer,"После выбора удерживайте E у верстака"
ui.construction.palette.start,"Строительство"
ui.construction.palette.finish,"Закончить строительство"
ui.construction.palette.wall,"Стена\n1 дерево"
ui.construction.palette.workbench,"Верстак\n2 дерева"
